Index,country,gender,age,WUR2000,WUR2001,WUR2002,WUR2003,WUR2004,WUR2005,WUR2006,WUR2007,WUR2008,WUR2009,WUR2010,WUR2011,WUR2012,WUR2013,WUR2014,WUR2015,WUR2016,WUR2017,WUR2018,WUR2019,WUR2020,WUR2021,WUR2022,WUR2023,WUR2024,WUR2025
174,U.S. Virgin Is.,Sex: Total,"Age (Youth, adults): 15-24",21.245,21.629,22.057,22.858,22.364,22.169,20.831,20.432,20.491,23.67,23.822,25.133,25.814,27.247,27.395,26.429,27.694,26.844,26.911,27.389,34.195,31.77,27.544,26.532,25.599,24.833
175,Uganda,Sex: Total,"Age (Youth, adults): 15-24",5.25,5.238,5.206,5.411,4.072,2.867,3.439,4.056,4.623,5.45,5.434,5.259,5.252,2.662,3.474,4.133,4.778,5.567,5.237,4.89,5.812,5.208,4.606,4.473,4.43,4.354
176,Ukraine,Sex: Total,"Age (Youth, adults): 15-24",21.875,20.661,18.927,16.896,16.012,15.24,14.275,13.219,13.143,18.268,17.76,17.864,17.841,17.671,23.576,22.581,23.091,18.929,17.933,15.435,19.328,19.11,0,0,0,0
177,United Arab Emirates,Sex: Total,"Age (Youth, adults): 15-24",4.947,5.423,5.981,6.636,7.2,7.72,7.123,6.606,6.171,6.167,6.063,5.923,5.655,5.455,5.307,5.074,4.849,7.156,6.662,7.405,14.119,10.493,9.895,9.835,9.759,9.676
178,United Kingdom,Sex: Total,"Age (Youth, adults): 15-24",11.938,10.259,10.837,11.262,10.618,12.62,13.816,14.175,14.918,18.978,19.732,21.147,21.046,20.495,16.796,14.508,12.89,11.99,11.19,11.039,13.438,12.774,10.51,12.014,13.448,13.929
179,United States of America,Sex: Total,"Age (Youth, adults): 15-24",9.275,10.496,11.922,12.345,11.792,11.226,10.428,10.459,12.748,17.509,18.346,17.257,16.198,15.524,13.396,11.606,10.409,9.244,8.613,8.371,14.873,9.706,8.096,7.978,8.812,9.192
180,Uruguay,Sex: Total,"Age (Youth, adults): 15-24",29.214,34.405,37.862,38.068,33.051,29.06,28.078,24.89,22.371,20.969,20.719,18.063,18.561,19.277,19.426,22.856,24.129,25.233,26.54,28.142,33.928,31.674,25.282,26.091,26.235,26.447
181,Uzbekistan,Sex: Total,"Age (Youth, adults): 15-24",25.544,23.623,21.458,19.293,17.095,14.707,12.5,10.237,10.099,10.747,11.575,10.623,10.743,10.781,11.433,11.571,11.542,12.883,12.097,11.203,12.795,13.182,10.968,10.557,10.545,10.626
182,Vanuatu,Sex: Total,"Age (Youth, adults): 15-24",14.086,14.223,14.382,14.447,14.169,13.796,13.683,12.014,10.311,8.729,9.013,9.325,9.629,9.908,10.188,10.476,10.651,10.863,11.067,11.381,8.894,10.129,10.99,10.997,10.912,10.762
183,Venezuela,Sex: Total,"Age (Youth, adults): 15-24",23.344,21.874,27.215,28.089,25.358,18.262,15.378,13.589,12.365,12.135,14.176,14.037,14.077,16.22,14.728,13.251,11.673,12.343,12.309,12.133,13.817,13.303,10.977,11.661,10.75,9.939
184,Vietnam,Sex: Total,"Age (Youth, adults): 15-24",4.712,5.565,4.408,4.716,4.572,4.998,5.472,5.985,5.263,4.494,3.474,3.265,3.703,4.632,4.756,6.351,6.788,7.016,4.505,5.501,6.422,6.805,5.917,6.328,6.233,6.115
185,W. Sahara,Sex: Total,"Age (Youth, adults): 15-24",18.502,19.413,19.727,19.06,18.119,17.835,17.28,17.028,17.65,17.133,17.879,18.983,20.303,20.4,20.732,22.017,22.372,23.406,23.023,22.381,26.093,24.704,21.966,22.045,22.027,21.978
186,Yemen,Sex: Total,"Age (Youth, adults): 15-24",18.583,18.904,19.175,19.513,19.8,20.069,20.41,20.769,21.18,21.543,21.829,22.853,23.505,24.219,24.495,32.45,33.184,33.577,32.658,32.44,34.763,34.384,33.049,32.914,32.82,32.229
187,Zambia,Sex: Total,"Age (Youth, adults): 15-24",23.003,24.421,26.352,28.032,29.861,31.613,26.791,21.795,16.696,22.727,28.865,22.955,16.948,17.208,17.181,17.336,17.229,17.053,8.726,10.325,11.022,9.347,8.209,7.915,7.826,7.749
188,Zimbabwe,Sex: Total,"Age (Youth, adults): 15-24",11.902,10.823,9.879,8.991,7.881,8.199,8.351,8.693,9.296,9.379,9.27,9.035,8.173,7.613,6.937,8.001,8.914,9.746,10.57,11.616,14.064,15.154,14.802,14.57,14.422,14.306
189,eSwatini,Sex: Total,"Age (Youth, adults): 15-24",50.459,51.896,52.891,53.747,54.531,55.456,56.351,57.408,56.626,55.774,54.489,53,51.283,50.027,48.895,47.906,46.959,47.246,47.603,47.787,53.347,51.214,48.246,47.343,46.972,46.741
